City,Country,Lat,Lng,Max Temp,Current Description,Hotel Name
Kirakira,SB,-10.4544,161.9205,85.19,few clouds,SanBiz Lodge
Luganville,VU,-15.5333,167.1667,84.81,scattered clouds,The Espiritu Hotel
Kudahuvadhoo,MV,2.6708,72.8944,80.71,broken clouds,Niyama Private Islands Maldives
Santa Marta,CO,11.2408,-74.199,81.9,few clouds,Hotel La Ballena Azul
Bagotville,AU,-28.9833,153.4167,81.64,broken clouds,Broadwater Sunrise Caravan Park
Iquitos,PE,-3.7481,-73.2472,77.04,clear sky,Cortez Malaga Techy Caroly
Bartica,GY,6.4,-58.6167,77.32,overcast clouds,Sloth Island Nature Resort
Nosy Varika,MG,-20.5833,48.5333,74.93,light rain,Hotel Volazara
Sungairaya,ID,0.7,108.9,86.99,overcast clouds,Rumah Kuku Moimoi Shelly
Pontianak,ID,-0.0333,109.3333,87.78,few clouds,Aston Pontianak Hotel & Convention Center
Umarkot,PK,25.3616,69.7362,81.99,clear sky,Al-Qamar Boys Hostel
Male,MV,4.1748,73.5089,85.95,few clouds,Hotel Octave Maldives
Samfya,ZM,-11.3649,29.5565,74.16,overcast clouds,Chita Lodge Samfya
Acara,BR,-1.9608,-48.1967,72.5,scattered clouds,Hotel Vale do Acará
Uarini,BR,-2.99,-65.1083,76.75,overcast clouds,
Bairiki,KI,1.3292,172.9752,86.0,few clouds,Tarawa Boutique Hotel
Bosaso,SO,11.2842,49.1816,79.32,broken clouds,Red Sea Hotel
Ayorou,NE,14.7308,0.9174,71.29,broken clouds,Hotel Amenokal
Mana,GF,5.6592,-53.7767,77.4,broken clouds,LE SAMANA
Trinidad,BO,-14.8333,-64.9,70.43,overcast clouds,Hotel Piesta
Ballina,AU,-28.8667,153.5667,81.79,scattered clouds,Ramada Hotel & Suites by Wyndham Ballina Byron
Belmonte,BR,-15.8631,-38.8828,73.04,light rain,Pousada Monte Carmelo O Pão
Vasudevanallur,IN,9.2333,77.4167,82.6,clear sky,பொனிஷா ஹரிணி ஹோம்ஸ்
Karaton,ID,-6.3424,106.1045,86.07,overcast clouds,Parkir Mobil Wisata CAS Water Park
Puerto Colombia,CO,10.9878,-74.9547,78.89,overcast clouds,Hotel El Emigrante
Saint-Georges,GD,12.0564,-61.7485,80.28,scattered clouds,Radisson Grenada Beach Resort
