City_Description,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
202,Bo Phloi,TH,14.3236,99.5161,86.67,64,16,6.89,few clouds
203,Farakka,IN,24.8167,87.9,77.27,31,29,5.86,scattered clouds
204,Coquimbo,CL,-29.9533,-71.3436,58.73,82,100,3.44,overcast clouds
205,Apeldoorn,NL,52.21,5.9694,43.3,95,100,9.22,overcast clouds
206,Richards Bay,ZA,-28.783,32.0377,71.94,65,77,13.65,broken clouds
207,Senneterre,CA,48.3835,-77.2328,13.06,89,100,8.93,overcast clouds
208,Mogadishu,SO,2.0371,45.3438,80.47,78,0,11.5,clear sky
209,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.34,87,14,11.77,few clouds
210,Tailai,CN,46.3833,123.4,32.47,29,14,8.43,few clouds
211,Saskylakh,RU,71.9167,114.0833,-34.6,100,46,4.12,scattered clouds
212,Sibolga,ID,1.7427,98.7792,83.07,70,96,4.54,overcast clouds
213,Flinders,AU,-34.5833,150.8552,71.19,44,6,14.0,clear sky
214,Ippy,CF,6.2679,21.2247,74.28,39,100,3.4,overcast clouds
215,Turukhansk,RU,65.8167,87.9833,-19.53,94,37,7.4,scattered clouds
216,Olafsvik,IS,64.8945,-23.7142,41.61,93,100,17.56,moderate rain
217,Kieta,PG,-6.2167,155.6333,82.22,78,10,5.64,light rain
218,Okhotsk,RU,59.3833,143.3,17.11,92,100,15.5,overcast clouds
219,Zavetnoye,RU,47.1194,43.8903,52.09,84,96,9.82,overcast clouds
220,Cabrero,CL,-37.0333,-72.4,56.41,43,3,11.12,clear sky
221,Punta Arenas,CL,-53.15,-70.9167,48.31,81,40,6.91,scattered clouds
222,Bunol,ES,39.4167,-0.7833,49.77,50,65,21.99,broken clouds
223,Dingle,PH,10.9995,122.6711,86.58,69,44,9.35,scattered clouds
224,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,87,87,16.84,overcast clouds
225,Deputatskiy,RU,69.3,139.9,-28.77,100,67,2.19,broken clouds
226,Koslan,RU,63.4564,48.8989,15.42,99,100,1.68,overcast clouds
227,Kingstown,VC,13.1587,-61.2248,78.71,79,37,18.5,scattered clouds
228,Yishui,CN,35.7847,118.6281,46.09,89,100,10.09,overcast clouds
229,Berezovyy,RU,51.6667,135.7,23.32,41,47,4.56,scattered clouds
230,Dutse,NG,11.7594,9.3392,61.83,23,10,6.44,clear sky
231,Grindavik,IS,63.8424,-22.4338,43.27,87,100,13.8,light rain
232,Port Blair,IN,11.6667,92.75,86.04,70,40,4.61,scattered clouds
233,Brewster,US,41.3973,-73.6171,38.8,63,52,1.01,broken clouds
234,Praia,CV,14.9215,-23.5087,73.94,83,20,17.27,few clouds
235,Okato,NZ,-39.2,173.8833,63.18,99,68,11.01,broken clouds
236,Las Palmas,ES,28.4204,-14.0131,66.99,73,100,18.41,overcast clouds
237,Labuan,MY,5.2767,115.2417,86.36,74,20,2.3,few clouds
238,Mao,ES,39.8885,4.2658,52.36,87,0,11.5,clear sky
239,Taldan,RU,53.6667,124.8,8.19,82,47,3.47,scattered clouds
240,Shurugwi,ZW,-19.6702,30.0059,65.17,72,48,5.23,scattered clouds
241,Smoljan,ME,43.0924,19.2286,28.89,98,97,6.82,overcast clouds
242,Gasa,PS,31.5,34.4667,70.59,74,100,5.48,overcast clouds
243,Termiz,UZ,37.2242,67.2783,51.89,62,0,6.91,clear sky
244,Miraflores,MX,19.2167,-98.8083,54.97,89,55,0.43,light rain
